bengali_root	english_root
স্মোকিং	Smoking
জিম	Gym
এক্সারসাইজ	Exercise
যোগা	Yoga
ওয়াক	Walk
রান	Run
স্টেপস	Steps
ফিটনেস	Fitness
লাইফস্টাইল	Lifestyle
স্ট্রেস	Stress
টেনশন	Tension
প্যানিক	Panic
ট্রমা	Trauma
শক	Shock
মেন্টাল	Mental
ইমোশন	Emotion
ইমোশনাল	Emotional
সেনসিটিভ	Sensitive
নার্ভাস	Nervous
কনফিডেন্স	Confidence
রিল্যাক্স	Relax
চিল	Chill
পজিটিভ	Positive
নেগেটিভ	Negative
সাপোর্ট	Support
কেয়ার	Care
কাউন্সেলিং	Counseling
থেরাপি	Therapy
সাইকোলজিস্ট	Psychologist
সাইকিয়াট্রিস্ট	Psychiatrist
ক্রিটিক্যাল	Critical
আরজেন্ট	Urgent
ইম্পর্টেন্ট	Important
ইরেগুলার	Irregular
এক্টিভ	Active
লেজি	Lazy
বিজি	Busy
ফ্রি	Free
সেম	Same
ডিফারেন্ট	Different
কমপ্লেক্স	Complex
কনফার্ম	Confirm
পারফেক্ট	Perfect
বেস্ট	Best
ওয়ার্স্ট	Worst
ক্লিয়ার	Clear
ডার্ক	Dark
লাইট	Light
ইমিউনিটি	Immunity
এনার্জি	Energy
স্ট্যামিনা	Stamina
ভ্যাকসিন	Vaccine
ডোজ	Dose
বুস্টার	Booster
চেকআপ	Checkup
ফলোআপ	Follow-up
রুটিন	Routine
স্যাম্পল	Sample
ক্লিনিক	Clinic
চেম্বার	Chamber
ফার্মেসি	Pharmacy
রোড	Road
ট্রাফিক	Traffic
সিগন্যাল	Signal
রুম	Room
ফ্লোর	Floor
লিফট	Lift
গেট	Gate
কিচেন	Kitchen
ব্যালকনি	Balcony
বিল্ডিং	Building
অ্যাপার্টমেন্ট	Apartment
ফ্ল্যাট	Flat
মার্কেট	Market
শপিং	Shopping
লিস্ট	List
ব্যাগ	Bag
গিফট	Gift
পার্টি	Party
রেস্টুরেন্ট	Restaurant
অর্ডার	Order
মেনু	Menu
পার্সেল	Parcel
টিভি	TV
রিমোট	Remote
ফ্যান	Fan
চেক	Check
টেস্ট	Test
স্টার্ট	Start
স্টপ	Stop
ট্রাই	Try
ইউজ	Use
কল	Call
মিট	Meet
সেন্ড	Send
সুইসাইড	Suicide
রিসিভ	Receive
ডিলিট	Delete
সেভ	Save
কপি	Copy
পেস্ট	Paste
টাইপ	Type
সার্চ	Search
ক্লিক	Click
পেমেন্ট	Payment
ক্যানসেল	Cancel
রিটার্ন	Return
এক্সচেঞ্জ	Exchange
কমপ্লেইন	Complain
রিকুয়েস্ট	Request
সাজেস্ট	Suggest
ম্যানেজ	Manage
কন্ট্রোল	Control
ফলো	Follow
শেয়ার	Share
লাইক	Like
কমেন্ট	Comment
পোস্ট	Post
সাবস্ক্রাইব	Subscribe
লগিন	Login
লগআউট	Logout
সাইনআপ	Signup
সুইচ	Switch
চার্জার	Charger
ব্যাটারি	Battery
ল্যাপটপ	Laptop
মোবাইল	Mobile
ফোন	Phone
ডিসপ্লে	Display
সাউন্ড	Sound
ক্যামেরা	Camera
টেবিল	Table
চেয়ার	Chair
সোফা	Sofa
বেড	Bed
ল্যাম্প	Lamp
এসি	AC
প্লাগ	Plug
মাল্টিপ্লাগ	Multiplug
ফ্রিজ	Fridge
ওভেন	Oven
ব্লেন্ডার	Blender
কুকার	Cooker
গ্লাস	Glass
প্লেট	Plate
কাপ	Cup
মগ	Mug
বোটল	Bottle
বোতল	Bottle
স্পুন	Spoon
ফর্ক	Fork
ডোর	Door
উইন্ডো	Window
লক	Lock
পার্স	Purse
ওয়ালেট	Wallet
বক্স	Box
কার্টন	Carton
প্যাকেট	Packet
বাস্কেট	Basket
বালতি	Bucket
সাবান	Soap
শ্যাম্পু	Shampoo
ব্রাশ	Brush
টিস্যু	Tissue
টাওয়েল	Towel
কম্পিউটার	Computer
পিসি	PC
ডেস্কটপ	Desktop
মাউস	Mouse
কিবোর্ড	Keyboard
মনিটর	Monitor
স্ক্রিন	Screen
হার্ডডিস্ক	Harddisk
র‍্যাম	RAM
প্রসেসর	Processor
ওয়েবক্যাম	Webcam
স্পিকার	Speaker
হেডফোন	Headphone
ইয়ারফোন	Earphone
ব্লুটুথ	Bluetooth
মাইক	Mic
প্রিন্টার	Printer
স্ক্যানার	Scanner
রাউটার	Router
মডেম	Modem
ক্যাবল	Cable
ওয়্যার	Wire
বাটন	Button
সফটওয়্যার	Software
হার্ডওয়্যার	Hardware
উইন্ডোজ	Windows
অ্যান্ড্রয়েড	Android
স্মার্টফোন	Smartphone
সিম	SIM
কার্ড	Card
নেটওয়ার্ক	Network
ওয়াইফাই	WiFi
ইন্টারনেট	Internet
নেট	Net
ডাটা	Data
ব্যালেন্স	Balance
রিচার্জ	Recharge
মিসকল	Misscall
মেসেজ	Message
এসএমএস	SMS
চ্যাট	Chat
ভিডিও	Video
অডিও	Audio
ফোল্ডার	Folder
অ্যাপ	App
গেম	Game
লিংক	Link
ওয়েবসাইট	Website
ব্রাউজার	Browser
গুগল	Google
ফেসবুক	Facebook
ইউটিউব	YouTube
অনলাইন	Online
অফলাইন	Offline
ডাউনলোড	Download
আপলোড	Upload
ইনস্টল	Install
আপডেট	Update
এডিট	Edit
ব্লক	Block
গ্রুপ	Group
পেজ	Page
প্রোফাইল	Profile
আইডি	ID
পাসওয়ার্ড	Password
নোটিফিকেশন	Notification
সেটিং	Setting
অপশন	Option
ভার্সন	Version
রিসেপশন	Reception
বস	Boss
কনফারেন্স	Conference
টার্গেট	Target
ডেডলাইন	Deadline
রিপোর্ট	Report
পেপার	Paper
লেটার	Letter
মেইল	Mail
ফ্যাক্স	Fax
সিভি	CV
জব	Job
প্রমোশন	Promotion
ডিউটি	Duty
শিফট	Shift
লিভ	Leave
ব্রেক	Brake
ক্যানটিন	Canteen
ক্যাম্পাস	Campus
সেকশন	Section
রোল	Roll
রেজিস্ট্রেশন	Registration
এডমিশন	Admission
কুইজ	Quiz
গ্রেড	Grade
মার্কস	Marks
ফেইল	Fail
কোর্স	Course
সিলেবাস	Syllabus
বই	Book
নোটবুক	Notebook
ডায়েরি	Diary
পেন	Pen
পেন্সিল	Pencil
মার্কার	Marker
বোর্ড	Board
চক	Chalk
ডাস্টার	Duster
ক্যাব	Cab
ইউনিফর্ম	Uniform
স্যার	Sir
ম্যাডাম	Madam
ম্যাম	Ma'am
প্রিন্সিপাল	Principal
লাইব্রেরি	Library
ল্যাব	Lab
ডাক্তার	Doctor
নার্স	Nurse
পেশেন্ট	Patient
হসপিটাল	Hospital
হাসপাতাল	Hospital
ফার্মেসী	Pharmacy
মেডিসিন	Medicine
ঔষধ	Medicine
ট্যাবলেট	Tablet
ক্যাপসুল	Capsule
সিরাপ	Syrup
ইঞ্জেকশন	Injection
স্যালাইন	Saline
প্রেসক্রিপশন	Prescription
এক্সরে	X-ray
আল্ট্রাসাউন্ড	Ultrasound
ইসিজি	ECG
অপারেশন	Operation
সার্জারি	Surgery
ওয়ার্ড	Ward
কেবিন	Cabin
আইসিইউ	ICU
ইমার্জেন্সি	Emergency
এম্বুলেন্স	Ambulance
ব্লাড	Blood
প্রেশার	Pressure
ডায়াবেটিস	Diabetes
অ্যাটাক	Attack
স্ট্রোক	Stroke
ক্যান্সার	Cancer
ব্যাকটেরিয়া	Bacteria
ইনফেকশন	Infection
মাস্ক	Mask
গ্লাভস	Gloves
স্যানিটাইজার	Sanitizer
বাইক	Bike
সাইকেল	Cycle
ভ্যান	Van
ট্রাক	Truck
সিএনজি	CNG
অটো	Auto
ট্যাক্সি	Taxi
উবার	Uber
হেল্পার	Helper
প্যাসেঞ্জার	Passenger
টিকিট	Ticket
স্টেশন	Station
টার্মিনাল	Terminal
এয়ারপোর্ট	Airport
ফ্লাইট	Flight
প্লেন	Plane
পাসপোর্ট	Passport
ভিসা	Visa
হাইওয়ে	Highway
ব্রিজ	Bridge
পুলিশ	Police
সার্জেন্ট	Sergeant
ফাইন	Fine
কেস	Case
এক্সিডেন্ট	Accident
গ্যারেজ	Garage
পেট্রোল	Petrol
ডিজেল	Diesel
পাম্প	Pump
গিয়ার	Gear
হর্ন	Horn
ইঞ্জিন	Engine
শার্ট	Shirt
প্যান্ট	Pant
জিন্স	Jeans
টি-শার্ট	T-shirt
কোট	Coat
স্যুট	Suit
টাই	Tie
জ্যাকেট	Jacket
সোয়েটার	Sweater
শাড়ি	Saree
ব্লাউজ	Blouse
ফ্রক	Frock
স্কার্ট	Skirt
টপস	Tops
স্যান্ডেল	Sandal
বুট	Boot
স্নিকার্স	Sneakers
বেল্ট	Belt
ঘড়ি	Watch
সানগ্লাস	Sunglass
লিপস্টিক	Lipstick
মেকআপ	Makeup
ক্রিম	Cream
লোশন	Lotion
পারফিউম	Perfume
স্প্রে	Spray
কন্ডিশনার	Conditioner
কালার	Color
স্টাইল	Style
ফ্যাশন	Fashion
মডেল	Model
শপ	Shop
স্টোর	Store
বাজার	Bazaar
মল	Mall
সুপারশপ	Supershop
ডিপার্টমেন্টাল	Departmental
কাস্টমার	Customer
সেলসম্যান	Salesman
প্রাইস	Price
রেট	Rate
ফিক্সড	Fixed
ডিসকাউন্ট	Discount
অফার	Offer
সেল	Sale
বিল	Bill
ক্যাশ	Cash
চেঞ্জ	Change
ক্রেডিট	Credit
ডেবিট	Debit
ব্যাংক	Bank
এটিএম	ATM
একাউন্ট	Account
লোন	Loan
ইন্টারেস্ট	Interest
ডলার	Dollar
টাকা	Taka
পাউন্ড	Pound
ব্রেড	Bread
বাটার	Butter
জ্যাম	Jam
জেলি	Jelly
বিস্কুট	Biscuit
কেক	Cake
চকোলেট	Chocolate
চিপস	Chips
বার্গার	Burger
পিৎজা	Pizza
স্যান্ডউইচ	Sandwich
চিকেন	Chicken
ফ্রাই	Fry
বিফ	Beef
মাটন	Mutton
ফিশ	Fish
রাইস	Rice
বিরিয়ানি	Biryani
কারি	Curry
স্যুপ	Soup
সস	Sauce
নুডলস	Noodles
পাস্তা	Pasta
ম্যাকারনি	Macaroni
কফি	Coffee
জুস	Juice
কোক	Coke
পেপসি	Pepsi
সোডা	Soda
আইসক্রিম	Icecream
দই	Yogurt
হোটেল	Hotel
ক্যাফে	Cafe
ডেলিভারি	Delivery
শেফ	Chef
ক্রিকেট	Cricket
ফুটবল	Football
ম্যাচ	Match
প্লেয়ার	Player
ক্যাপ্টেন	Captain
কোচ	Coach
রেফারি	Referee
আম্পায়ার	Umpire
স্টেডিয়াম	Stadium
গ্যালারি	Gallery
গোল	Goal
উইকেট	Wicket
ব্যাট	Bat
ক্যাচ	Catch
আউট	Out
সিক্স	Six
ফোর	Four
টুর্নামেন্ট	Tournament
লিগ	League
ওয়ার্ল্ড	World
সিরিজ	Series
চ্যাম্পিয়ন	Champion
ট্রফি	Trophy
মেডেল	Medal
সিনেমা	Cinema
মুভি	Movie
ফিল্ম	Film
নাটক	Drama
সিরিয়াল	Serial
শো	Show
নিউজ	News
খবর	News
চ্যানেল	Channel
মিডিয়া	Media
রিপোর্টার	Reporter
জার্নালিস্ট	Journalist
শুটিং	Shooting
অ্যাকশন	Action
কাট	Cut
সিন	Scene
ডায়লগ	Dialogue
স্ক্রিপ্ট	Script
ডিরেক্টর	Director
প্রডিউসার	Producer
অ্যাক্টর	Actor
হিরো	Hero
ভিলেন	Villain
স্টার	Star
সুপারস্টার	Superstar
কনসার্ট	Concert
স্টেজ	Stage
মিউজিক	Music
ব্যান্ড	Band
গিটার	Guitar
ড্রামস	Drums
পিয়ানো	Piano
আর্টিস্ট	Artist
পেইন্টিং	Painting
ডিজাইন	Design
এপার্টমেন্ট	Apartment
সিঁড়ি	Stairs
ছাদ	Roof
বারান্দা	Balcony
বাউন্ডারি	Boundary
ওয়াল	Wall
পেইন্ট	Paint
সিমেন্ট	Cement
রড	Rod
ব্রিক	Brick
টাইলস	Tiles
মার্বেল	Marble
ফার্নিচার	Furniture
কার্পেট	Carpet
ম্যাট	Mat
কার্টেন	Curtain
কুশন	Cushion
বেডশিট	Bedsheet
বালিশ	Pillow
ব্ল্যাঙ্কেট	Blanket
ইঞ্জিনিয়ার	Engineer
আর্কিটেক্ট	Architect
লইয়ার	Lawyer
জজ	Judge
কোর্ট	Court
আর্মি	Army
নেভি	Navy
এয়ারফোর্স	Airforce
পাইলট	Pilot
গার্ড	Guard
সিকিউরিটি	Security
মেকানিক	Mechanic
ইলেকট্রিশিয়ান	Electrician
প্লাম্বার	Plumber
কারপেন্টার	Carpenter
পেইন্টার	Painter
কুক	Cook
ওয়েটার	Waiter
টেইলর	Tailor
ফার্মার	Farmer
বিজনেসম্যান	Businessman
থ্যাঙ্কু	Thank you
হ্যালো	Hello
গুড	Good
ব্যাড	Bad
ওকে	Okay
নাইস	Nice
বিউটিফুল	Beautiful
স্মার্ট	Smart
কিউট	Cute
হ্যাপি	Happy
স্যাড	Sad
বোরিং	Boring
মেবি	Maybe
লিটারেলি	Literally
সিরিয়াসলি	Seriously
অরিজিনাল	Original
ডুপ্লিকেট	Duplicate
লোকাল	Local
ফরেন	Foreign
রিয়েল	Real
ফেক	Fake
ট্রু	True
ফলস	False
রাইট	Right
রং	Wrong
লেফট	Left
নিউ	New
ওল্ড	Old
ফার্স্ট	First
লাস্ট	Last
নেক্সট	Next
প্রিভিয়াস	Previous
হাফ	Half
এক্সট্রা	Extra
মেইন	Main
কমন	Common
প্রাইভেট	Private
পাবলিক	Public
পার্সোনাল	Personal
অফিসিয়াল	Official
ন্যাশনাল	National
ইন্টারন্যাশনাল	International
সিস্টেম	System
আইডিয়া	Idea
প্ল্যান	Plan
পার্ট	Part
সাইড	Side
এরিয়া	Area
জোন	Zone
পয়েন্ট	Point
লেভেল	Level
স্টেপ	Step
রুল	Rule
ল	Law
ইস্যু	Issue
টপিক	Topic
ফ্যাক্ট	Fact
ইনফো	Info
ডিটেইলস	Details
রেফারেন্স	Reference
প্রুফ	Proof
রিস্ক	Risk
লাক	Luck
উইশ	Wish
হোপ	Hope
মাইন্ড	Mind
মুড	Mood
ফিলিং	Feeling
হেট	Hate
লাইফ	Life
ডে	Day
উইক	Week
মান্থ	Month
ইয়ার	Year
ডেট	Date
বার্থডে	Birthday
ফাংশন	Function
প্রোগ্রাম	Program
ইভেন্ট	Event
ফেস্টিভ্যাল	Festival
প্রাইজ	Prize
অ্যাওয়ার্ড	Award
উইনার	Winner
লুজার	Loser
